date,mm rain
10.06.20,12
11.06.20,10.7
12.06.20,0.8
13.06.20,23.3
14.06.20,12.8
15.06.20,5.1
16.06.20,7.3
17.06.20,25.6
18.06.20,6.7
19.06.20,11
20.06.20,0.5
21.06.20,0.2
22.06.20,0.8
23.06.20,0
24.06.20,4.2
25.06.20,2.9
26.06.20,8.2
27.06.20,11.3
28.06.20,8.4
29.06.20,22.9
30.06.20,0
01.07.20,5.1
02.07.20,8.5
03.07.20,1.9
04.07.20,0.1
05.07.20,0.2
06.07.20,1.9
07.07.20,0
08.07.20,0
09.07.20,0
10.07.20,25.4
11.07.20,22.9
12.07.20,0
13.07.20,1.3
14.07.20,3
15.07.20,7.5
16.07.20,1.9
17.07.20,1.3
18.07.20,0
19.07.20,0
20.07.20,0
21.07.20,15.4
22.07.20,6
23.07.20,3.2
24.07.20,33.5
25.07.20,0
26.07.20,1.3
27.07.20,0
28.07.20,2.6
29.07.20,9.2
30.07.20,1.6
31.07.20,0.5
01.08.20,1.4
02.08.20,14.8
03.08.20,14.3
04.08.20,4.3
05.08.20,0
06.08.20,0
