date,mm
12.06.23,1
13.06.23,2
14.06.23,1
15.06.23,1
16.06.23,1
17.06.23,0
18.06.23,1
19.06.23,1
20.06.23,2
21.06.23,2
22.06.23,5
23.06.23,2
24.06.23,0
25.06.23,0
26.06.23,1
27.06.23,0
28.06.23,0
29.06.23,2
30.06.23,15
01.07.23,2
02.07.23,1
03.07.23,1
04.07.23,0
05.07.23,3
06.07.23,2
07.07.23,1
08.07.23,1
09.07.23,0
10.07.23,1
11.07.23,2
12.07.23,4
13.07.23,5
14.07.23,0
15.07.23,1
16.07.23,1
17.07.23,1
18.07.23,1
19.07.23,3
20.07.23,0
21.07.23,3
22.07.23,2
23.07.23,0
24.07.23,6
25.07.23,13
26.07.23,2
27.07.23,0
28.07.23,3
29.07.23,4
30.07.23,3
31.07.23,0
