mm,date
3,2022-06-13
0,2022-06-14
0,2022-06-15
1,2022-06-16
0,2022-06-17
0,2022-06-18
1,2022-06-19
0,2022-06-20
3,2022-06-21
2,2022-06-22
3,2022-06-23
8,2022-06-24
2,2022-06-25
1,2022-06-26
2,2022-06-27
1,2022-06-28
1,2022-06-29
3,2022-06-30
4,2022-07-01
0,2022-07-02
0,2022-07-03
5,2022-07-04
2,2022-07-05
0,2022-07-06
0,2022-07-07
0,2022-07-08
0,2022-07-09
0,2022-07-10
0,2022-07-11
0,2022-07-12
0,2022-07-13
0,2022-07-14
0,2022-07-15
0,2022-07-16
0,2022-07-17
0,2022-07-18
5,2022-07-19
3,2022-07-20
1,2022-07-21
0,2022-07-22
2,2022-07-23
0,2022-07-24
1,2022-07-25
1,2022-07-26
0,2022-07-27
0,2022-07-28
3,2022-07-29
1,2022-07-30
3,2022-07-31
0,2022-08-01
