date,mm
2023-06-12,1
2023-06-13,2
2023-06-14,1
2023-06-15,1
2023-06-16,1
2023-06-17,0
2023-06-18,1
2023-06-19,1
2023-06-20,2
2023-06-21,2
2023-06-22,5
2023-06-23,2
2023-06-24,0
2023-06-25,0
2023-06-26,1
2023-06-27,0
2023-06-28,0
2023-06-29,2
2023-06-30,15
2023-07-01,2
2023-07-02,1
2023-07-03,1
2023-07-04,0
2023-07-05,3
2023-07-06,2
2023-07-07,1
2023-07-08,1
2023-07-09,0
2023-07-10,1
2023-07-11,2
2023-07-12,4
2023-07-13,5
2023-07-14,0
2023-07-15,1
2023-07-16,1
2023-07-17,1
2023-07-18,1
2023-07-19,3
2023-07-20,0
2023-07-21,3
2023-07-22,2
2023-07-23,0
2023-07-24,6
2023-07-25,13
2023-07-26,2
2023-07-27,0
2023-07-28,3
2023-07-29,4
2023-07-30,3
2023-07-31,0
