,date,location,count,plate,sample,colour,image,coef,before event,after event,event,date_sample,label,medium,doy,week,d,year
0,2016-07-05,MRD,0.0,1,MRD1,big_blue,,100,False,False,True,"('2016-07-05', 'MRD1')",Bioindicator,EasyGel,187,27,2016-07-05,2016
1,2016-07-12,MRD,22.0,1,MRD1,big_blue,,100,False,False,True,"('2016-07-12', 'MRD1')",Bioindicator,EasyGel,194,28,2016-07-12,2016
2,2016-07-19,MRD,8.0,1,MRD1,big_blue,,100,False,True,False,"('2016-07-19', 'MRD1')",Bioindicator,EasyGel,201,29,2016-07-19,2016
3,2016-06-21,MRD,2.0,1,MRD1,big_blue,,100,True,False,False,"('2016-06-21', 'MRD1')",Bioindicator,EasyGel,173,25,2016-06-21,2016
4,2016-06-28,MRD,0.0,1,MRD1,big_blue,,100,True,False,False,"('2016-06-28', 'MRD1')",Bioindicator,EasyGel,180,26,2016-06-28,2016
5,2016-07-26,MRD,0.0,1,MRD1,big_blue,,100,False,True,False,"('2016-07-26', 'MRD1')",Bioindicator,EasyGel,208,30,2016-07-26,2016
6,2016-08-02,MRD,0.0,1,MRD1,big_blue,,100,False,True,False,"('2016-08-02', 'MRD1')",Bioindicator,EasyGel,215,31,2016-08-02,2016
7,2016-08-09,MRD,0.0,1,MRD1,big_blue,,100,False,True,False,"('2016-08-09', 'MRD1')",Bioindicator,EasyGel,222,32,2016-08-09,2016
8,2016-07-05,SVT,2.0,1,SVT1,big_blue,,100,False,False,True,"('2016-07-05', 'SVT1')",Bioindicator,EasyGel,187,27,2016-07-05,2016
9,2016-07-12,SVT,32.0,1,SVT1,big_blue,,100,False,False,True,"('2016-07-12', 'SVT1')",Bioindicator,EasyGel,194,28,2016-07-12,2016
10,2016-07-19,SVT,7.0,1,SVT1,big_blue,,100,False,True,False,"('2016-07-19', 'SVT1')",Bioindicator,EasyGel,201,29,2016-07-19,2016
11,2016-06-21,SVT,0.0,1,SVT1,big_blue,,100,True,False,False,"('2016-06-21', 'SVT1')",Bioindicator,EasyGel,173,25,2016-06-21,2016
12,2016-06-28,SVT,0.0,1,SVT1,big_blue,,100,True,False,False,"('2016-06-28', 'SVT1')",Bioindicator,EasyGel,180,26,2016-06-28,2016
13,2016-07-26,SVT,2.0,1,SVT1,big_blue,,100,False,True,False,"('2016-07-26', 'SVT1')",Bioindicator,EasyGel,208,30,2016-07-26,2016
14,2016-08-02,SVT,1.0,1,SVT1,big_blue,,100,False,True,False,"('2016-08-02', 'SVT1')",Bioindicator,EasyGel,215,31,2016-08-02,2016
15,2016-08-09,SVT,1.0,1,SVT1,big_blue,,100,False,True,False,"('2016-08-09', 'SVT1')",Bioindicator,EasyGel,222,32,2016-08-09,2016
16,2016-07-05,VNX,0.0,1,VNX1,big_blue,,100,False,False,True,"('2016-07-05', 'VNX1')",Bioindicator,EasyGel,187,27,2016-07-05,2016
17,2016-07-12,VNX,5.0,1,VNX1,big_blue,,100,False,False,True,"('2016-07-12', 'VNX1')",Bioindicator,EasyGel,194,28,2016-07-12,2016
18,2016-07-19,VNX,27.0,1,VNX1,big_blue,,100,False,True,False,"('2016-07-19', 'VNX1')",Bioindicator,EasyGel,201,29,2016-07-19,2016
