date,location,sample,date_sample,event,before event,after event,medium,label,count,coef,week,doy,year,color,image
2023-06-12,VNX,VNX1,"('12/6/2023', 'VNX1')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_205159.jpg
2023-06-12,VNX,VNX1,"('12/6/2023', 'VNX1')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_205159.jpg
2023-06-12,VNX,VNX1,"('12/6/2023', 'VNX1')",False,True,False,ECC-A,Coliform,11,100,24,163,2023,Pink,20230614_205159.jpg
2023-06-12,VNX,VNX2,"('12/6/2023', 'VNX2')",False,True,False,ECC-A,Bioindicator,1,100,24,163,2023,Dark Blue,20230614_205229.jpg
2023-06-12,VNX,VNX2,"('12/6/2023', 'VNX2')",False,True,False,ECC-A,Other,1,100,24,163,2023,Turquoise,20230614_205229.jpg
2023-06-12,VNX,VNX2,"('12/6/2023', 'VNX2')",False,True,False,ECC-A,Coliform,10,100,24,163,2023,Pink,20230614_205229.jpg
2023-06-12,VNX,VNX3,"('12/6/2023', 'VNX3')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_205316.jpg
2023-06-12,VNX,VNX3,"('12/6/2023', 'VNX3')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_205316.jpg
2023-06-12,VNX,VNX3,"('12/6/2023', 'VNX3')",False,True,False,ECC-A,Coliform,19,100,24,163,2023,Pink,20230614_205316.jpg
2023-06-12,VNX,VNX4,"('12/6/2023', 'VNX4')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_205343.jpg
2023-06-12,VNX,VNX4,"('12/6/2023', 'VNX4')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_205343.jpg
2023-06-12,VNX,VNX4,"('12/6/2023', 'VNX4')",False,True,False,ECC-A,Coliform,8,100,24,163,2023,Pink,20230614_205343.jpg
2023-06-12,VNX,VNX5,"('12/6/2023', 'VNX5')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_205412.jpg
2023-06-12,VNX,VNX5,"('12/6/2023', 'VNX5')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_205412.jpg
2023-06-12,VNX,VNX5,"('12/6/2023', 'VNX5')",False,True,False,ECC-A,Coliform,10,100,24,163,2023,Pink,20230614_205412.jpg
2023-06-12,VNX,VNX6,"('12/6/2023', 'VNX6')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_205430.jpg
2023-06-12,VNX,VNX6,"('12/6/2023', 'VNX6')",False,True,False,ECC-A,Other,2,100,24,163,2023,Turquoise,20230614_205430.jpg
2023-06-12,VNX,VNX6,"('12/6/2023', 'VNX6')",False,True,False,ECC-A,Coliform,10,100,24,163,2023,Pink,20230614_205430.jpg
2023-06-12,SVT,SVT1,"('12/6/2023', 'SVT1')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_210300.jpg
2023-06-12,SVT,SVT1,"('12/6/2023', 'SVT1')",False,True,False,ECC-A,Other,5,100,24,163,2023,Turquoise,20230614_210300.jpg
2023-06-12,SVT,SVT1,"('12/6/2023', 'SVT1')",False,True,False,ECC-A,Coliform,18,100,24,163,2023,Pink,20230614_210300.jpg
2023-06-12,SVT,SVT2,"('12/6/2023', 'SVT2')",False,True,False,ECC-A,Bioindicator,1,100,24,163,2023,Dark Blue,20230614_210115.jpg
2023-06-12,SVT,SVT2,"('12/6/2023', 'SVT2')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_210115.jpg
2023-06-12,SVT,SVT2,"('12/6/2023', 'SVT2')",False,True,False,ECC-A,Coliform,12,100,24,163,2023,Pink,20230614_210115.jpg
2023-06-12,SVT,SVT3,"('12/6/2023', 'SVT3')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_210129.jpg
2023-06-12,SVT,SVT3,"('12/6/2023', 'SVT3')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_210129.jpg
2023-06-12,SVT,SVT3,"('12/6/2023', 'SVT3')",False,True,False,ECC-A,Coliform,5,100,24,163,2023,Pink,20230614_210129.jpg
2023-06-12,SVT,SVT4,"('12/6/2023', 'SVT4')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_210149.jpg
2023-06-12,SVT,SVT4,"('12/6/2023', 'SVT4')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_210149.jpg
2023-06-12,SVT,SVT4,"('12/6/2023', 'SVT4')",False,True,False,ECC-A,Coliform,12,100,24,163,2023,Pink,20230614_210149.jpg
2023-06-12,SVT,SVT5,"('12/6/2023', 'SVT5')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_210206.jpg
2023-06-12,SVT,SVT5,"('12/6/2023', 'SVT5')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_210206.jpg
2023-06-12,SVT,SVT5,"('12/6/2023', 'SVT5')",False,True,False,ECC-A,Coliform,12,100,24,163,2023,Pink,20230614_210206.jpg
2023-06-12,SVT,SVT6,"('12/6/2023', 'SVT6')",False,True,False,ECC-A,Bioindicator,0,100,24,163,2023,Dark Blue,20230614_210232.jpg
2023-06-12,SVT,SVT6,"('12/6/2023', 'SVT6')",False,True,False,ECC-A,Other,0,100,24,163,2023,Turquoise,20230614_210232.jpg
2023-06-12,SVT,SVT6,"('12/6/2023', 'SVT6')",False,True,False,ECC-A,Coliform,9,100,24,163,2023,Pink,20230614_210232.jpg
2023-06-12,MRD,MRD1,"('12/6/2023', 'MRD1')",False,True,False,ECC-A,Bioindicator,1,100,24,163,2023,Dark Blue,20230614_205837.jpg
2023-06-12,MRD,MRD1,"('12/6/2023', 'MRD1')",False,True,False,ECC-A,Other,26,100,24,163,2023,Turquoise,20230614_205837.jpg
