date,location,sample,date_sample,event,before event,after event,medium,label,count,coef,week,doy,year,color,image
05.07.16,MRD,MRD1,"('2016-07-05', 'MRD1')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,0,250,27,187,2016,big_blue,none
12.07.16,MRD,MRD1,"('2016-07-12', 'MRD1')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,22,25,28,194,2016,big_blue,none
19.07.16,MRD,MRD1,"('2016-07-19', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,8,25,29,201,2016,big_blue,none
21.06.16,MRD,MRD1,"('2016-06-21', 'MRD1')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,2,100,25,173,2016,big_blue,none
28.06.16,MRD,MRD1,"('2016-06-28', 'MRD1')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,0,25,26,180,2016,big_blue,none
26.07.16,MRD,MRD1,"('2016-07-26', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,30,208,2016,big_blue,none
02.08.16,MRD,MRD1,"('2016-08-02', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,31,215,2016,big_blue,none
09.08.16,MRD,MRD1,"('2016-08-09', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,32,222,2016,big_blue,none
05.07.16,SVT,SVT1,"('2016-07-05', 'SVT1')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,2,250,27,187,2016,big_blue,none
12.07.16,SVT,SVT1,"('2016-07-12', 'SVT1')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,32,25,28,194,2016,big_blue,none
19.07.16,SVT,SVT1,"('2016-07-19', 'SVT1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,7,25,29,201,2016,big_blue,none
21.06.16,SVT,SVT1,"('2016-06-21', 'SVT1')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,0,100,25,173,2016,big_blue,none
28.06.16,SVT,SVT1,"('2016-06-28', 'SVT1')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,0,25,26,180,2016,big_blue,none
26.07.16,SVT,SVT1,"('2016-07-26', 'SVT1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,2,25,30,208,2016,big_blue,none
02.08.16,SVT,SVT1,"('2016-08-02', 'SVT1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,1,25,31,215,2016,big_blue,none
09.08.16,SVT,SVT1,"('2016-08-09', 'SVT1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,1,25,32,222,2016,big_blue,none
05.07.16,VNX,VNX1,"('2016-07-05', 'VNX1')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,0,250,27,187,2016,big_blue,none
12.07.16,VNX,VNX1,"('2016-07-12', 'VNX1')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,5,25,28,194,2016,big_blue,none
19.07.16,VNX,VNX1,"('2016-07-19', 'VNX1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,27,25,29,201,2016,big_blue,none
21.06.16,VNX,VNX1,"('2016-06-21', 'VNX1')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,0,100,25,173,2016,big_blue,none
28.06.16,VNX,VNX1,"('2016-06-28', 'VNX1')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,2,25,26,180,2016,big_blue,none
26.07.16,VNX,VNX1,"('2016-07-26', 'VNX1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,30,208,2016,big_blue,none
09.08.16,VNX,VNX1,"('2016-08-09', 'VNX1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,2,25,32,222,2016,big_blue,none
02.08.16,VNX,VNX1,"('2016-08-02', 'VNX1')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,3,25,31,215,2016,big_blue,none
05.07.16,MRD,MRD1,"('2016-07-05', 'MRD1')",TRUE,FALSE,FALSE,EasyGel,Coliform,0,250,27,187,2016,med_blue,none
12.07.16,MRD,MRD1,"('2016-07-12', 'MRD1')",TRUE,FALSE,FALSE,EasyGel,Coliform,0,25,28,194,2016,med_blue,none
19.07.16,MRD,MRD1,"('2016-07-19', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Coliform,2,25,29,201,2016,med_blue,none
21.06.16,MRD,MRD1,"('2016-06-21', 'MRD1')",FALSE,TRUE,FALSE,EasyGel,Coliform,10,100,25,173,2016,med_blue,none
28.06.16,MRD,MRD1,"('2016-06-28', 'MRD1')",FALSE,TRUE,FALSE,EasyGel,Coliform,1,25,26,180,2016,med_blue,none
26.07.16,MRD,MRD1,"('2016-07-26', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Coliform,6,25,30,208,2016,med_blue,none
02.08.16,MRD,MRD1,"('2016-08-02', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Coliform,2,25,31,215,2016,med_blue,none
09.08.16,MRD,MRD1,"('2016-08-09', 'MRD1')",FALSE,FALSE,TRUE,EasyGel,Coliform,1,25,32,222,2016,med_blue,none
