date,location,sample,date_sample,event,before event,after event,medium,label,count,coef,week,doy,year,color,image
2016-07-05,MRD,MRD1,"('2016-07-05', 'MRD1')",True,False,False,EasyGel,Bioindicator,0.0,250,27,187,2016,big_blue,none
2016-07-12,MRD,MRD1,"('2016-07-12', 'MRD1')",True,False,False,EasyGel,Bioindicator,22.0,25,28,194,2016,big_blue,none
2016-07-19,MRD,MRD1,"('2016-07-19', 'MRD1')",False,False,True,EasyGel,Bioindicator,8.0,25,29,201,2016,big_blue,none
2016-06-21,MRD,MRD1,"('2016-06-21', 'MRD1')",False,True,False,EasyGel,Bioindicator,2.0,100,25,173,2016,big_blue,none
2016-06-28,MRD,MRD1,"('2016-06-28', 'MRD1')",False,True,False,EasyGel,Bioindicator,0.0,25,26,180,2016,big_blue,none
2016-07-26,MRD,MRD1,"('2016-07-26', 'MRD1')",False,False,True,EasyGel,Bioindicator,0.0,25,30,208,2016,big_blue,none
2016-08-02,MRD,MRD1,"('2016-08-02', 'MRD1')",False,False,True,EasyGel,Bioindicator,0.0,25,31,215,2016,big_blue,none
2016-08-09,MRD,MRD1,"('2016-08-09', 'MRD1')",False,False,True,EasyGel,Bioindicator,0.0,25,32,222,2016,big_blue,none
2016-07-05,SVT,SVT1,"('2016-07-05', 'SVT1')",True,False,False,EasyGel,Bioindicator,2.0,250,27,187,2016,big_blue,none
2016-07-12,SVT,SVT1,"('2016-07-12', 'SVT1')",True,False,False,EasyGel,Bioindicator,32.0,25,28,194,2016,big_blue,none
2016-07-19,SVT,SVT1,"('2016-07-19', 'SVT1')",False,False,True,EasyGel,Bioindicator,7.0,25,29,201,2016,big_blue,none
2016-06-21,SVT,SVT1,"('2016-06-21', 'SVT1')",False,True,False,EasyGel,Bioindicator,0.0,100,25,173,2016,big_blue,none
2016-06-28,SVT,SVT1,"('2016-06-28', 'SVT1')",False,True,False,EasyGel,Bioindicator,0.0,25,26,180,2016,big_blue,none
2016-07-26,SVT,SVT1,"('2016-07-26', 'SVT1')",False,False,True,EasyGel,Bioindicator,2.0,25,30,208,2016,big_blue,none
2016-08-02,SVT,SVT1,"('2016-08-02', 'SVT1')",False,False,True,EasyGel,Bioindicator,1.0,25,31,215,2016,big_blue,none
2016-08-09,SVT,SVT1,"('2016-08-09', 'SVT1')",False,False,True,EasyGel,Bioindicator,1.0,25,32,222,2016,big_blue,none
2016-07-05,VNX,VNX1,"('2016-07-05', 'VNX1')",True,False,False,EasyGel,Bioindicator,0.0,250,27,187,2016,big_blue,none
2016-07-12,VNX,VNX1,"('2016-07-12', 'VNX1')",True,False,False,EasyGel,Bioindicator,5.0,25,28,194,2016,big_blue,none
2016-07-19,VNX,VNX1,"('2016-07-19', 'VNX1')",False,False,True,EasyGel,Bioindicator,27.0,25,29,201,2016,big_blue,none
2016-06-21,VNX,VNX1,"('2016-06-21', 'VNX1')",False,True,False,EasyGel,Bioindicator,0.0,100,25,173,2016,big_blue,none
2016-06-28,VNX,VNX1,"('2016-06-28', 'VNX1')",False,True,False,EasyGel,Bioindicator,2.0,25,26,180,2016,big_blue,none
2016-07-26,VNX,VNX1,"('2016-07-26', 'VNX1')",False,False,True,EasyGel,Bioindicator,0.0,25,30,208,2016,big_blue,none
2016-08-09,VNX,VNX1,"('2016-08-09', 'VNX1')",False,False,True,EasyGel,Bioindicator,2.0,25,32,222,2016,big_blue,none
2016-08-02,VNX,VNX1,"('2016-08-02', 'VNX1')",False,False,True,EasyGel,Bioindicator,3.0,25,31,215,2016,big_blue,none
2016-07-05,MRD,MRD1,"('2016-07-05', 'MRD1')",True,False,False,EasyGel,Coliform,0.0,250,27,187,2016,med_blue,none
2016-07-12,MRD,MRD1,"('2016-07-12', 'MRD1')",True,False,False,EasyGel,Coliform,0.0,25,28,194,2016,med_blue,none
2016-07-19,MRD,MRD1,"('2016-07-19', 'MRD1')",False,False,True,EasyGel,Coliform,2.0,25,29,201,2016,med_blue,none
2016-06-21,MRD,MRD1,"('2016-06-21', 'MRD1')",False,True,False,EasyGel,Coliform,10.0,100,25,173,2016,med_blue,none
2016-06-28,MRD,MRD1,"('2016-06-28', 'MRD1')",False,True,False,EasyGel,Coliform,1.0,25,26,180,2016,med_blue,none
2016-07-26,MRD,MRD1,"('2016-07-26', 'MRD1')",False,False,True,EasyGel,Coliform,6.0,25,30,208,2016,med_blue,none
2016-08-02,MRD,MRD1,"('2016-08-02', 'MRD1')",False,False,True,EasyGel,Coliform,2.0,25,31,215,2016,med_blue,none
2016-08-09,MRD,MRD1,"('2016-08-09', 'MRD1')",False,False,True,EasyGel,Coliform,1.0,25,32,222,2016,med_blue,none
2016-07-05,SVT,SVT1,"('2016-07-05', 'SVT1')",True,False,False,EasyGel,Coliform,1.0,250,27,187,2016,med_blue,none
2016-07-12,SVT,SVT1,"('2016-07-12', 'SVT1')",True,False,False,EasyGel,Coliform,47.0,25,28,194,2016,med_blue,none
2016-07-19,SVT,SVT1,"('2016-07-19', 'SVT1')",False,False,True,EasyGel,Coliform,0.0,25,29,201,2016,med_blue,none
2016-06-21,SVT,SVT1,"('2016-06-21', 'SVT1')",False,True,False,EasyGel,Coliform,0.0,100,25,173,2016,med_blue,none
2016-06-28,SVT,SVT1,"('2016-06-28', 'SVT1')",False,True,False,EasyGel,Coliform,0.0,25,26,180,2016,med_blue,none
2016-07-26,SVT,SVT1,"('2016-07-26', 'SVT1')",False,False,True,EasyGel,Coliform,0.0,25,30,208,2016,med_blue,none
2016-08-02,SVT,SVT1,"('2016-08-02', 'SVT1')",False,False,True,EasyGel,Coliform,0.0,25,31,215,2016,med_blue,none
2016-08-09,SVT,SVT1,"('2016-08-09', 'SVT1')",False,False,True,EasyGel,Coliform,0.0,25,32,222,2016,med_blue,none
2016-07-05,VNX,VNX1,"('2016-07-05', 'VNX1')",True,False,False,EasyGel,Coliform,0.0,250,27,187,2016,med_blue,none
