date,location,replican,event,before event,after event,count,coef,per 100,label
2016-07-05,MRD,"('2016-07-05', 'MRD1')",True,False,False,0.0,250,0.0,Bioindicator
2016-07-12,MRD,"('2016-07-12', 'MRD1')",True,False,False,22.0,25,550.0,Bioindicator
2016-07-19,MRD,"('2016-07-19', 'MRD1')",False,False,True,8.0,25,200.0,Bioindicator
2016-06-21,MRD,"('2016-06-21', 'MRD1')",False,True,False,2.0,100,200.0,Bioindicator
2016-06-28,MRD,"('2016-06-28', 'MRD1')",False,True,False,0.0,25,0.0,Bioindicator
2016-07-26,MRD,"('2016-07-26', 'MRD1')",False,False,True,0.0,25,0.0,Bioindicator
2016-08-02,MRD,"('2016-08-02', 'MRD1')",False,False,True,0.0,25,0.0,Bioindicator
2016-08-09,MRD,"('2016-08-09', 'MRD1')",False,False,True,0.0,25,0.0,Bioindicator
2016-07-05,SVT,"('2016-07-05', 'SVT1')",True,False,False,2.0,250,500.0,Bioindicator
2016-07-12,SVT,"('2016-07-12', 'SVT1')",True,False,False,32.0,25,800.0,Bioindicator
2016-07-19,SVT,"('2016-07-19', 'SVT1')",False,False,True,7.0,25,175.0,Bioindicator
2016-06-21,SVT,"('2016-06-21', 'SVT1')",False,True,False,0.0,100,0.0,Bioindicator
2016-06-28,SVT,"('2016-06-28', 'SVT1')",False,True,False,0.0,25,0.0,Bioindicator
2016-07-26,SVT,"('2016-07-26', 'SVT1')",False,False,True,2.0,25,50.0,Bioindicator
2016-08-02,SVT,"('2016-08-02', 'SVT1')",False,False,True,1.0,25,25.0,Bioindicator
2016-08-09,SVT,"('2016-08-09', 'SVT1')",False,False,True,1.0,25,25.0,Bioindicator
2016-07-05,VNX,"('2016-07-05', 'VNX1')",True,False,False,0.0,250,0.0,Bioindicator
2016-07-12,VNX,"('2016-07-12', 'VNX1')",True,False,False,5.0,25,125.0,Bioindicator
2016-07-19,VNX,"('2016-07-19', 'VNX1')",False,False,True,27.0,25,675.0,Bioindicator
2016-06-21,VNX,"('2016-06-21', 'VNX1')",False,True,False,0.0,100,0.0,Bioindicator
2016-06-28,VNX,"('2016-06-28', 'VNX1')",False,True,False,2.0,25,50.0,Bioindicator
2016-07-26,VNX,"('2016-07-26', 'VNX1')",False,False,True,0.0,25,0.0,Bioindicator
2016-08-09,VNX,"('2016-08-09', 'VNX1')",False,False,True,2.0,25,50.0,Bioindicator
2016-08-02,VNX,"('2016-08-02', 'VNX1')",False,False,True,3.0,25,75.0,Bioindicator
2016-07-05,MRD,"('2016-07-05', 'MRD1')",True,False,False,0.0,250,0.0,Coliform
2016-07-12,MRD,"('2016-07-12', 'MRD1')",True,False,False,0.0,25,0.0,Coliform
2016-07-19,MRD,"('2016-07-19', 'MRD1')",False,False,True,2.0,25,50.0,Coliform
2016-06-21,MRD,"('2016-06-21', 'MRD1')",False,True,False,10.0,100,1000.0,Coliform
2016-06-28,MRD,"('2016-06-28', 'MRD1')",False,True,False,1.0,25,25.0,Coliform
2016-07-26,MRD,"('2016-07-26', 'MRD1')",False,False,True,6.0,25,150.0,Coliform
2016-08-02,MRD,"('2016-08-02', 'MRD1')",False,False,True,2.0,25,50.0,Coliform
2016-08-09,MRD,"('2016-08-09', 'MRD1')",False,False,True,1.0,25,25.0,Coliform
