date,site,plate-number,category,count,week,is-jazz
2022-07-04,pform05,1,bioindicator,0,1,True
2022-07-04,pform05,2,bioindicator,0,1,True
2022-07-04,pform05,3,bioindicator,0,1,True
2022-07-04,pform05,4,bioindicator,0,1,True
2022-07-04,pform05,5,bioindicator,0,1,True
2022-07-04,pform05,6,bioindicator,0,1,True
2022-07-11,pform05,1,bioindicator,0,1,True
2022-07-11,pform05,2,bioindicator,0,1,True
2022-07-11,pform05,3,bioindicator,0,1,True
2022-07-11,pform05,4,bioindicator,0,1,True
2022-07-11,pform05,5,bioindicator,0,1,True
2022-07-11,pform05,6,bioindicator,0,2,True
2022-07-18,pform05,1,bioindicator,0,2,False
2022-07-18,pform05,2,bioindicator,0,2,False
2022-07-18,pform05,4,bioindicator,0,2,False
2022-07-18,pform05,5,bioindicator,0,2,False
2022-07-18,pform05,6,bioindicator,0,2,False
2022-07-25,pform05,1,bioindicator,0,2,False
2022-07-25,pform05,2,bioindicator,0,2,False
2022-07-25,pform05,3,bioindicator,0,2,False
2022-07-25,pform05,4,bioindicator,0,2,False
2022-07-25,pform05,5,bioindicator,0,2,False
2022-07-25,pform05,6,bioindicator,0,2,False
2022-08-03,pform05,1,bioindicator,0,2,False
2022-08-03,pform05,2,bioindicator,0,2,False
2022-08-03,pform05,3,bioindicator,0,2,False
2022-08-03,pform05,4,bioindicator,0,2,False
2022-08-03,pform05,5,bioindicator,0,3,False
2022-08-03,pform05,6,bioindicator,0,3,False
2022-09-12,pform05,1,bioindicator,0,3,False
2022-09-12,pform05,2,bioindicator,0,3,False
2022-09-12,pform05,3,bioindicator,0,3,False
2022-09-12,pform05,4,bioindicator,0,3,False
2022-09-12,pform05,5,bioindicator,0,3,False
2022-09-12,pform05,6,bioindicator,0,3,False
2022-09-12,pform5,1,bioindicator,2,3,False
2022-09-12,pform5,2,bioindicator,2,3,False
2022-09-12,pform5,3,bioindicator,3,3,False
2022-09-12,pform5,4,bioindicator,3,3,False
2022-09-12,pform5,5,bioindicator,3,3,False
2022-09-12,pform5,6,bioindicator,4,3,False
2022-07-18,Clarens ,1,bioindicator,2,3,False
2022-07-18,Clarens ,2,bioindicator,1,3,False
2022-07-18,Clarens ,3,bioindicator,1,3,False
2022-08-01,Clarens ,1,bioindicator,0,3,False
2022-08-01,Clarens ,2,bioindicator,0,3,False
2022-08-01,Clarens ,3,bioindicator,0,3,False
2022-08-01,Clarens ,4,bioindicator,0,3,False
2022-08-01,Clarens ,5,bioindicator,0,3,False
2022-06-13,svt,2,bioindicator,2,3,False
2022-06-13,svt,3,bioindicator,3,3,False
2022-06-13,svt,4,bioindicator,1,3,False
2022-06-13,svt,5,bioindicator,1,3,False
2022-06-13,svt,6,bioindicator,3,3,False
2022-06-13,vnx,1,bioindicator,0,3,False
2022-06-13,vnx,2,bioindicator,0,3,False
2022-06-13,vnx,3,bioindicator,0,3,False
2022-06-13,vnx,4,bioindicator,0,3,False
2022-06-13,vnx,5,bioindicator,0,3,False
2022-06-13,vnx,6,bioindicator,1,3,False
2022-06-20,vnx,1,bioindicator,0,3,False
2022-06-20,vnx,2,bioindicator,1,4,False
2022-06-20,vnx,3,bioindicator,0,4,False
2022-06-20,vnx,4,bioindicator,0,4,False
2022-06-20,vnx,5,bioindicator,0,4,False
2022-06-20,svt,1,bioindicator,0,4,False
2022-06-20,svt,2,bioindicator,0,4,False
2022-06-20,svt,3,bioindicator,0,4,False
2022-06-20,svt,4,bioindicator,0,4,False
2022-06-20,svt,5,bioindicator,0,4,False
2022-06-20,svt,6,bioindicator,0,4,False
2022-06-20,mrd,1,bioindicator,0,4,False
2022-06-20,mrd,2,bioindicator,0,4,False
2022-06-20,mrd,3,bioindicator,0,4,False
2022-06-20,mrd,4,bioindicator,0,4,False
2022-06-20,mrd,5,bioindicator,1,4,False
2022-06-20,mrd,6,bioindicator,0,4,False
2022-06-27,vnx,1,bioindicator,2,4,False
2022-06-27,vnx,2,bioindicator,1,4,False
2022-06-27,vnx,3,bioindicator,0,4,False
2022-06-27,vnx,4,bioindicator,0,4,False
2022-06-27,vnx,5,bioindicator,0,4,False
