year,period,alpha_posterior,beta_posterior,updated_probability,observed_ratio
2016,before event,3,115,0.025423728813559324,0.1111111111111111
2016,event,12,106,0.1016949152542373,0.6111111111111112
2016,after event,12,124,0.08823529411764706,0.3055555555555556
2017,before event,6,166,0.03488372093023256,0.05555555555555555
2017,event,32,146,0.1797752808988764,0.3333333333333333
2017,after event,12,238,0.048,0.0
2020,before event,11,209,0.05,0.10416666666666667
2020,event,35,167,0.17326732673267325,0.125
2020,after event,17,257,0.06204379562043796,0.20833333333333334
2022,before event,18,250,0.06716417910447761,0.14583333333333334
2022,event,40,252,0.136986301369863,0.05555555555555555
2022,after event,20,305,0.06153846153846154,0.058823529411764705
2023,before event,45,400,0.10112359550561797,0.15254237288135594
2023,event,44,299,0.1282798833819242,0.0784313725490196
2023,after event,30,358,0.07731958762886598,0.15873015873015872
