date,site,plate-number,variable,value
2022-07-04,pform05,5,bioindicator,0
2022-07-04,pform05,5,bioindicator,0
2022-07-04,pform05,5,bioindicator,0
2022-07-04,pform05,5,bioindicator,0
2022-07-04,pform05,5,bioindicator,0
2022-07-04,pfrom05,5,bioindicator,0
2022-07-11,pform05,5,bioindicator,0
2022-07-11,pform05,5,bioindicator,0
2022-07-11,pform05,5,bioindicator,0
2022-07-11,pform05,5,bioindicator,0
2022-07-11,pform05,5,bioindicator,0
2022-07-11,pfrom05,5,bioindicator,0
2022-07-18,pform05,5,bioindicator,0
2022-07-18,pform05,5,bioindicator,0
2022-07-18,pform05,5,bioindicator,nd
2022-07-18,pform05,5,bioindicator,0
2022-07-18,pform05,5,bioindicator,0
2022-07-18,pfrom05,5,bioindicator,0
2022-07-25,pform05,5,bioindicator,0
2022-07-25,pform05,5,bioindicator,0
2022-07-25,pform05,5,bioindicator,0
2022-07-25,pform05,5,bioindicator,0
2022-07-25,pform05,5,bioindicator,0
2022-07-25,pfrom05,5,bioindicator,0
2022-08-03,pform05,5,bioindicator,0
2022-08-03,pform05,5,bioindicator,0
2022-08-03,pform05,5,bioindicator,0
2022-08-03,pform05,5,bioindicator,0
2022-08-03,pform05,5,bioindicator,0
2022-08-03,pfrom05,5,bioindicator,0
2022-09-12,pform05,5,bioindicator,0
2022-09-12,pform05,5,bioindicator,0
2022-09-12,pform05,5,bioindicator,0
2022-09-12,pform05,5,bioindicator,0
2022-09-12,pform05,5,bioindicator,0
2022-09-12,pform05,5,bioindicator,0
2022-09-12,pform5,5,bioindicator,2
2022-09-12,pform5,5,bioindicator,2
2022-09-12,pform5,5,bioindicator,3
2022-09-12,pform5,5,bioindicator,3
2022-09-12,pform5,5,bioindicator,3
2022-09-12,pform5,5,bioindicator,4
2022-07-18,Clarens ,1,bioindicator,2
2022-07-18,Clarens ,2,bioindicator,1
2022-07-18,Clarens ,3,bioindicator,1
2022-08-01,Clarens ,1,bioindicator,0
2022-08-01,Clarens ,2,bioindicator,0
2022-08-01,Clarens ,3,bioindicator,0
2022-08-01,Clarens ,4,bioindicator,0
2022-08-01,Clarens ,5,bioindicator,0
2022-06-13,svt,2,bioindicator,2
2022-06-13,svt,3,bioindicator,3
2022-06-13,svt,4,bioindicator,1
2022-06-13,svt,5,bioindicator,1
2022-06-13,svt,6,bioindicator,3
2022-06-13,vnx,1,bioindicator,0
2022-06-13,vnx,2,bioindicator,0
2022-06-13,vnx,3,bioindicator,0
2022-06-13,vnx,4,bioindicator,0
2022-06-13,vnx,5,bioindicator,0
2022-06-13,vnx,6,bioindicator,1
2022-06-20,vnx,1,bioindicator,0
2022-06-20,vnx,2,bioindicator,1
2022-06-20,vnx,3,bioindicator,0
2022-06-20,vnx,4,bioindicator,0
2022-06-20,vnx,5,bioindicator,0
2022-06-20,svt,1,bioindicator,0
2022-06-20,svt,2,bioindicator,0
2022-06-20,svt,3,bioindicator,0
2022-06-20,svt,4,bioindicator,0
2022-06-20,svt,5,bioindicator,0
2022-06-20,svt,6,bioindicator,0
2022-06-20,mrd,1,bioindicator,0
2022-06-20,mrd,2,bioindicator,0
2022-06-20,mrd,3,bioindicator,0
2022-06-20,mrd,4,bioindicator,0
2022-06-20,mrd,5,bioindicator,1
2022-06-20,mrd,6,bioindicator,0
2022-06-27,vnx,1,bioindicator,2
2022-06-27,vnx,2,bioindicator,1
2022-06-27,vnx,3,bioindicator,0
2022-06-27,vnx,4,bioindicator,0
2022-06-27,vnx,5,bioindicator,0
2022-06-27,svt,1,bioindicator,0
2022-06-27,svt,2,bioindicator,0
2022-06-27,svt,3,bioindicator,1
2022-06-27,svt,4,bioindicator,0
2022-06-27,svt,5,bioindicator,0
2022-06-27,svt,6,bioindicator,3
2022-06-27,mrd,1,bioindicator,4
2022-06-27,mrd,2,bioindicator,1
2022-06-27,mrd,3,bioindicator,1
2022-06-27,mrd,4,bioindicator,0
2022-06-27,mrd,5,bioindicator,0
2022-06-27,mrd,6,bioindicator,2
2022-07-02,vnx,1,bioindicator,0
2022-07-02,vnx,2,bioindicator,1
2022-07-02,vnx,3,bioindicator,0
2022-07-02,vnx,4,bioindicator,0
2022-07-02,vnx,5,bioindicator,0
2022-07-02,svt,1,bioindicator,0
2022-07-02,svt,2,bioindicator,0
2022-07-02,svt,3,bioindicator,0
2022-07-02,svt,4,bioindicator,0
2022-07-02,svt,5,bioindicator,0
2022-07-02,svt,6,bioindicator,0
2022-07-02,mrd,1,bioindicator,1
2022-07-02,mrd,2,bioindicator,0
2022-07-02,mrd,3,bioindicator,0
2022-07-02,mrd,4,bioindicator,0
2022-07-02,mrd,5,bioindicator,0
2022-07-02,mrd,6,bioindicator,0
2022-07-04,vnx,1,bioindicator,0
2022-07-04,vnx,2,bioindicator,0
2022-07-04,vnx,3,bioindicator,1
2022-07-04,vnx,4,bioindicator,0
2022-07-04,vnx,5,bioindicator,0
2022-07-04,svt,1,bioindicator,1
2022-07-04,svt,2,bioindicator,1
2022-07-04,svt,3,bioindicator,1
2022-07-04,svt,4,bioindicator,2
2022-07-04,svt,5,bioindicator,1
2022-07-04,svt,6,bioindicator,0
2022-07-04,mrd,1,bioindicator,1
2022-07-04,mrd,2,bioindicator,1
2022-07-04,mrd,3,bioindicator,2
2022-07-04,mrd,4,bioindicator,0
2022-07-04,mrd,5,bioindicator,1
2022-07-04,mrd,6,bioindicator,2
2022-07-06,vnx,1,bioindicator,0
2022-07-06,vnx,2,bioindicator,2
2022-07-06,vnx,3,bioindicator,0
2022-07-06,svt,1,bioindicator,0
2022-07-06,svt,2,bioindicator,0
2022-07-06,svt,3,bioindicator,0
2022-07-06,mrd,1,bioindicator,1
2022-07-06,mrd,2,bioindicator,0
2022-07-06,mrd,3,bioindicator,0
2022-07-08,vnx,1,bioindicator,0
2022-07-08,vnx,2,bioindicator,0
2022-07-08,vnx,3,bioindicator,0
